target_id,source_id,ra,dec,RUWE,non_single_star
2MASS J16213668+2628137,1303508456780764416,245.4026686,26.47025543,0.9271247,0
2MASS J16213668+2628137,1303508456780240256,245.4028655,26.47095663,1.1357911,0
2MASS J16213954+2746545,1305334986112645248,245.4148278,27.78179135,1.00816,0
2MASS J16213954+2746545,1305334986112645248,245.4148278,27.78179135,1.00816,0
2MASS J16214002+3045169,1319133101126468224,245.4166631,30.75471266,0.9515192,0
2MASS J16214072+2524386,1303371705021797248,245.4196315,25.41073313,1.4191389,2
2MASS J16214072+2524386,1303371705021797248,245.4196315,25.41073313,1.4191389,2
2MASS J16214108+3057184,1319139938714425728,245.4212098,30.95508026,0.9426985,0
2MASS J16214160+2626220,1303505433123780736,245.4232023,26.43934176,1.0823746,0
2MASS J16214231+2913136,1317583030249535232,245.4263281,29.22044955,0.92948097,0
2MASS J16214304+2522086,1303370742949120640,245.4293129,25.36908393,0.9512298,0
2MASS J16214304+2522086,1303370742949120640,245.4293129,25.36908393,0.9512298,0
2MASS J16214353+2543243,1303397337386719872,245.4313697,25.72324704,1.042355,0
2MASS J16214353+2543243,1303397337386719872,245.4313697,25.72324704,1.042355,0
2MASS J16214420+3158278,1319271570872379392,245.4342003,31.97438116,1.1429372,0
2MASS J16214420+3158278,1319271570872379520,245.4333707,31.9737355,1.1560868,0
2MASS J16214428+3026044,1318280219404029824,245.434511,30.4345989,1.2667826,0
2MASS J16214428+3026044,1318280219404029824,245.434511,30.4345989,1.2667826,0
2MASS J16214428+3026044,1318280223699745664,245.4348459,30.43461767,1.7312691,0
2MASS J16214428+3026044,1318280223699745664,245.4348459,30.43461767,1.7312691,0
2MASS J16214432+2537505,1303384589923699840,245.4346844,25.63065409,1.0479205,0
2MASS J16214432+2934132,1318154668920028032,245.4347227,29.57015102,0.98616135,0
2MASS J16214449+2520536,1303370536790688384,245.4354429,25.34821049,1.0446057,0
2MASS J16214488+3258415,1325574933595611392,245.4370227,32.97816373,0.93459755,0
2MASS J16214496+2729521,1305312171246321408,245.4377084,27.49773705,1.107646,0
2MASS J16214526+3253027,1325571978658103168,245.4386378,32.88402151,1.0647825,0
2MASS J16214541+2624291,1303505123886128512,245.4392259,26.40810202,1.0123736,0
2MASS J16214541+2624291,1303505123886128512,245.4392259,26.40810202,1.0123736,0
2MASS J16214602+2712163,1305233418725937280,245.4417592,27.20452747,3.9619086,0
2MASS J16214634+2607113,1303479147923890560,245.4430689,26.11978735,0.9369421,0
2MASS J16214634+2607113,1303479147923890560,245.4430689,26.11978735,0.9369421,0
2MASS J16214735+2732169,1305312377404755456,245.44722,27.53799854,0.93993974,0
2MASS J16214783+2643252,1305201945206148352,245.4493213,26.7234509,15.688975,0
2MASS J16214932+2632237,1303509212695011072,245.4554643,26.5397854,2.31683,1
2MASS J16214950+2638188,1305012279449778816,245.4563429,26.63860821,0.94739276,0
2MASS J16214952+3004234,1318253556247069312,245.4562359,30.07337777,1.0160264,0
